sardinia;fifteenth
fuel;cell
fifteenth;international
porous;medium
diffusion;coefficient
flow;rate
hydrogen;sulfide
modelling;simulation
carbon;dioxide
municipal;solid
activated;carbon
waste;management
experimental;column
pilot;scale
power;plant
solid;waste
moisture;content
babiu;process
elemental;sulfur
mswi;bottom
balance;equation
surface;area
mass;balance
chemical;potential
international;waste
leachate;experimental
landfill;symposium
municipal;waste
adsorption;capacity
water;content
landfill;adsorption
removal;capacity
sulfide;concentration
waste;incineration
total;sulfide
shown;figure
solid;phase
simulation;landfill
figure;figure
utilization;landfill
management;landfill
landfill;utilization
adsorption;bottom
biogas;landfill
