fuel;cell
waste;management
solid;waste
hydrogen;sulfide
municipal;solid
landfill;adsorption
experimental;column
municipal;waste
flow;rate
diffusion;coefficient
carbon;dioxide
mswi;bottom
sulfide;concentration
figure;figure
landfill;symposium
international;waste
water;content
management;landfill
moisture;content
activated;carbon
adsorption;capacity
babiu;process
waste;incineration
power;plant
simulation;landfill
adsorption;bottom
modelling;simulation
porous;medium
utilization;landfill
biogas;landfill
leachate;experimental
mass;balance
surface;area
elemental;sulfur
pilot;scale
landfill;utilization
total;sulfide
balance;equation
shown;figure
fifteenth;international
chemical;potential
sardinia;fifteenth
solid;phase
removal;capacity
mass;transfer
column;containing
landfill;fuel
maxwell;stefan
construction;demolition
concentration;leachate
landfill;experiment
particle;size
methane;carbon
breakthrough;time
input;flow
added;total
sulfur;cake
carbonation;tank
leachate;column
amount;sulfur
biogas;plant
waste;generation
volume;fraction
organic;carbon
test;run
cell;system
united;state
kgtm;kgtm
landfill;biogas
biogas;upgrading
waste;treatment
adsorption;process
breakthrough;capacity
previously;mentioned
volume;volume
renewable;energy
paper;food
situ;landfill
seen;figure
sofielund;landfill
mass;exchange
chemical;engineering
steam;reforming
figure;show
waste;incinerator
entropy;inequality
laboratory;scale
inlet;outlet
steel;slag
equation;equation
household;waste
molar;concentration
dissolved;oxygen
heavy;metal
landfill;site
pafcs;system
management;waste
environmental;protection
calcium;oxide
sulfate;content
boundary;condition
column;figure
size;size
momentum;balance
high;concentration
taken;account
seepage;velocity
oxidation;reduction
upgrading;biogas
capacity;bottom
tenuated;mass
scale;test
demolition;debris
hydrogen;sulphide
lean;landfill
sulfur;fine
reduction;potential
mass;density
umsatzrate;umsatzrate
pore;size
landfill;bottom
calcium;hydroxide
coefficient;landfill
previous;experiment
take;place
pilot;plant
diffusion;flux
sulfide;total
heat;capacity
figure;sulfide
bottom;eluate
removed;added
accelerated;carbonation
concentration;experimental
plant;cologne
stockholm;sweden
size;distribution
content;landfill
pressure;swing
removal;hydrogen
petacalco;power
landfill;landfill
mass;mass
energy;recovery
swing;adsorption
reforming;process
cell;stack
unit;cell
column;data
water;added
protection;agency
wood;municipal
bottom;sample
upgrading;landfill
cumulated;inlet
removal;efficiency
waste;landfill
podere;rota
slag;bottom
list;reference
processing;facility
journal;environmental
hazardous;waste
high;content
result;discussion
fick;diffusion
lagrange;multiplier
incineration;process
fresh;bottom
adsorption;equilibrium
material;used
sewage;sludge
total;added
carbonation;reaction
concentration;landfill
electron;microscopy
bottom;ash
sulfate;reduction
landfill;purification
energy;balance
breakthrough;curve
containing;fine
initial;condition
organic;matter
national;bureau
interaction;force
statistic;china
sulfuric;acid
sardinia;eleventh
sample;taken
balance;momentum
treated;biogas
total;amount
ash;used
landfill;used
sweden;january
eleventh;international
internal;energy
metal;oxide
biogas;treatment
