fuel;cell
waste;management
hydrogen;sulfide
municipal;solid
solid;waste
experimental;column
diffusion;coefficient
flow;rate
carbon;dioxide
porous;medium
activated;carbon
modelling;simulation
sardinia;fifteenth
landfill;adsorption
mswi;bottom
fifteenth;international
municipal;waste
moisture;content
landfill;symposium
babiu;process
power;plant
international;waste
pilot;scale
elemental;sulfur
sulfide;concentration
adsorption;capacity
mass;balance
surface;area
water;content
balance;equation
leachate;experimental
waste;incineration
chemical;potential
figure;figure
simulation;landfill
total;sulfide
removal;capacity
shown;figure
solid;phase
management;landfill
utilization;landfill
adsorption;bottom
landfill;utilization
biogas;landfill
