sardinia;fifteenth
fifteenth;international
porous;medium
modelling;simulation
diffusion;coefficient
pilot;scale
carbon;dioxide
flow;rate
activated;carbon
fuel;cell
power;plant
municipal;solid
hydrogen;sulfide
elemental;sulfur
balance;equation
babiu;process
moisture;content
surface;area
experimental;column
chemical;potential
mass;balance
leachate;experimental
mswi;bottom
waste;management
international;waste
removal;capacity
landfill;symposium
adsorption;capacity
solid;waste
total;sulfide
shown;figure
solid;phase
water;content
waste;incineration
municipal;waste
sulfide;concentration
simulation;landfill
utilization;landfill
landfill;adsorption
landfill;utilization
figure;figure
management;landfill
adsorption;bottom
biogas;landfill
