municipal;solid;waste
international;waste;management
waste;management;landfill
management;landfill;symposium
landfill;adsorption;bottom
simulation;landfill;adsorption
modelling;simulation;landfill
leachate;experimental;column
figure;figure;figure
fifteenth;international;waste
sardinia;fifteenth;international
methane;carbon;dioxide
utilization;landfill;fuel
landfill;fuel;cell
municipal;waste;management
sulfide;concentration;leachate
fuel;cell;system
input;flow;rate
concentration;leachate;experimental
kgtm;kgtm;kgtm
solid;waste;incineration
solid;waste;incinerator
waste;management;waste
construction;demolition;debris
situ;landfill;experiment
oxidation;reduction;potential
diffusion;coefficient;landfill
sulfide;total;sulfide
environmental;protection;agency
concentration;experimental;column
hydrogen;sulfide;total
petacalco;power;plant
total;sulfide;concentration
pressure;swing;adsorption
wood;municipal;solid
mass;balance;equation
total;added;total
pilot;scale;test
column;containing;fine
removed;added;total
fick;diffusion;coefficient
added;total;sulfide
added;total;added
volume;volume;volume
experimental;column;figure
eleventh;international;waste
breakthrough;capacity;bottom
stockholm;sweden;january
bureau;statistic;china
pore;size;distribution
sardinia;eleventh;international
national;bureau;statistic
removal;hydrogen;sulfide
slag;covered;area
upgrading;biogas;landfill
environmental;chemical;engineering
maxwell;stefan;diffusion
maxwell;stefan;equation
journal;environmental;chemical
cauchy;stress;tensor
total;sulfide;cone
column;hydrogen;sulfide
carbon;dioxide;hydrogen
power;plant;cologne
cone;column;data
size;size;size
mass;mass;density
mass;balance;momentum
solid;waste;generation
relationship;experimental;column
balance;momentum;balance
data;source;pafc
mass;density;volume
pafc;power;plant
sulfate;reducing;bacteria
chapman;enskog;theory
hydrogen;sulfide;production
amount;municipal;waste
time;concentration;size
sulfide;cone;column
breakthrough;time;concentration
treatment;ash;incineration
source;pafc;power
experimental;column;hydrogen
ash;incineration;process
density;volume;volume
integrated;waste;management
biogas;treatment;ash
comparison;input;sulfur
sulfide;relationship;experimental
dissolved;oxygen;concentration
performance;fuel;cell
umsatzrate;umsatzrate;umsatzrate
laboratory;scale;experiment
momentum;balance;equation
time;umsatzrate;umsatzrate
solid;waste;treatment
item;paper;food
cell;stack;assembly
fuel;cell;fuel
list;symbol;abbreviation
stefan;diffusion;coefficient
environmental;science;technology
hydrogen;sulfide;removal
journal;hazardous;material
cell;fuel;cell
concentration;size;size
volume;volume;fine
pound;sulfur;section
landfill;symposium;table
fuel;cell;power
function;described;form
university;natural;resource
landfill;utilization;landfill
sulfate;content;fine
experimental;column;sulfide
input;sulfur;fine
technol;environ;policy
described;form;equation
plant;plant;plant
tenuated;mass;sulfur
item;mass;mass
column;figure;sulfide
united;state;environmental
phosphoric;acid;fuel
landfill;adsorption;mass
column;data;fine
state;environmental;protection
landfill;site;landfill
equilibrium;function;described
fuel;cell;unit
waste;incinerator;bottom
cumulat;tenuated;mass
moisture;content;sample
flow;rate;input
theoretical;removal;capacity
production;exhausted;material
process;landfill;adsorption
experimental;column;fine
municipal;waste;treatment
life;cycle;assessment
management;waste;management
dissipative;mass;exchange
adsorption;equilibrium;function
clean;technol;environ
composition;municipal;solid
sarperi;journal;environmental
concentration;landfill;site
figure;comparison;input
column;sulfide;concentration
field;concentration;ppmv
function;dissipative;mass
institute;waste;management
acid;fuel;cell
material;used;hydrogen
adsorption;without;carrier
fuel;fuel;cell
porosity;pore;size
examination;material;used
landfill;symposium;figure
dissolved;oxygen;leachate
column;containing;sulfur
waste;treatment;disposal
management;university;natural
biogas;upgrading;technology
bottom;biogas;upgrading
fine;item;mass
statistical;office;germany
figure;sulfide;concentration
fuel;cell;pafc
density;mass;density
method;municipal;solid
fine;total;fine
chinese;http;stats
content;ignition;loss
sulfide;production;exhausted
impregnated;activated;carbon
sequestration;mswi;bottom
landfill;adsorption;figure
temp;average;median
landfill;sequestration;mswi
sulfur;fine;concentration
fine;concentration;landfill
cumula;tenuated;mass
content;organic;carbon
figure;sulfide;relationship
interphase;mass;transfer
waste;management;figure
containing;sulfur;cake
waste;management;municipal
organic;carbon;content
hydrogen;sulfide;inhibition
used;hydrogen;sulfide
flow;energy;temp
except;column;containing
internal;combustion;engine
sulfide;concentration;experimental
effect;hydrogen;sulfide
bottom;upgrading;biogas
demolition;debris;landfill
