municipal;solid;waste
international;waste;management
management;landfill;symposium
sardinia;fifteenth;international
modelling;simulation;landfill
fifteenth;international;waste
leachate;experimental;column
waste;management;landfill
simulation;landfill;adsorption
methane;carbon;dioxide
kgtm;kgtm;kgtm
landfill;adsorption;bottom
input;flow;rate
construction;demolition;debris
figure;figure;figure
environmental;protection;agency
utilization;landfill;fuel
sulfide;concentration;leachate
national;bureau;statistic
fuel;cell;system
petacalco;power;plant
oxidation;reduction;potential
stockholm;sweden;january
municipal;waste;management
bureau;statistic;china
concentration;leachate;experimental
pressure;swing;adsorption
landfill;fuel;cell
sardinia;eleventh;international
solid;waste;incinerator
pore;size;distribution
solid;waste;incineration
fick;diffusion;coefficient
mass;balance;equation
removed;added;total
wood;municipal;solid
added;total;added
situ;landfill;experiment
diffusion;coefficient;landfill
pilot;scale;test
hydrogen;sulfide;total
total;added;total
eleventh;international;waste
sulfide;total;sulfide
added;total;sulfide
total;sulfide;concentration
concentration;experimental;column
column;containing;fine
volume;volume;volume
waste;management;waste
breakthrough;capacity;bottom
experimental;column;figure
