national;bureau;statistic
stockholm;sweden;january
bureau;statistic;china
kgtm;kgtm;kgtm
sardinia;fifteenth;international
environmental;protection;agency
sardinia;eleventh;international
construction;demolition;debris
pore;size;distribution
petacalco;power;plant
fifteenth;international;waste
methane;carbon;dioxide
municipal;solid;waste
oxidation;reduction;potential
pressure;swing;adsorption
fick;diffusion;coefficient
international;waste;management
removed;added;total
modelling;simulation;landfill
eleventh;international;waste
input;flow;rate
management;landfill;symposium
added;total;added
leachate;experimental;column
pilot;scale;test
total;added;total
volume;volume;volume
mass;balance;equation
wood;municipal;solid
added;total;sulfide
solid;waste;incinerator
fuel;cell;system
concentration;leachate;experimental
column;containing;fine
simulation;landfill;adsorption
hydrogen;sulfide;total
sulfide;concentration;leachate
municipal;waste;management
diffusion;coefficient;landfill
solid;waste;incineration
utilization;landfill;fuel
situ;landfill;experiment
sulfide;total;sulfide
waste;management;landfill
breakthrough;capacity;bottom
landfill;fuel;cell
total;sulfide;concentration
concentration;experimental;column
figure;figure;figure
experimental;column;figure
landfill;adsorption;bottom
waste;management;waste
