municipal;solid;waste
fuel;cell;system
landfill;fuel;cell
international;waste;management
municipal;waste;management
waste;management;landfill
hydrogen;sulfide;total
waste;management;waste
leachate;experimental;column
wood;municipal;solid
solid;waste;incineration
sardinia;fifteenth;international
solid;waste;incinerator
input;flow;rate
methane;carbon;dioxide
management;landfill;symposium
fick;diffusion;coefficient
concentration;experimental;column
experimental;column;figure
diffusion;coefficient;landfill
kgtm;kgtm;kgtm
simulation;landfill;adsorption
fifteenth;international;waste
sardinia;eleventh;international
modelling;simulation;landfill
landfill;adsorption;bottom
petacalco;power;plant
construction;demolition;debris
mass;balance;equation
eleventh;international;waste
sulfide;concentration;leachate
figure;figure;figure
total;sulfide;concentration
pilot;scale;test
environmental;protection;agency
concentration;leachate;experimental
added;total;sulfide
stockholm;sweden;january
utilization;landfill;fuel
national;bureau;statistic
removed;added;total
pore;size;distribution
bureau;statistic;china
added;total;added
oxidation;reduction;potential
pressure;swing;adsorption
volume;volume;volume
column;containing;fine
sulfide;total;sulfide
total;added;total
situ;landfill;experiment
breakthrough;capacity;bottom
