national;bureau;statistic
stockholm;sweden;january
bureau;statistic;china
kgtm;kgtm;kgtm
environmental;protection;agency
sardinia;fifteenth;international
sardinia;eleventh;international
construction;demolition;debris
pore;size;distribution
petacalco;power;plant
pressure;swing;adsorption
fick;diffusion;coefficient
oxidation;reduction;potential
fifteenth;international;waste
eleventh;international;waste
removed;added;total
methane;carbon;dioxide
added;total;added
input;flow;rate
pilot;scale;test
total;added;total
volume;volume;volume
modelling;simulation;landfill
international;waste;management
management;landfill;symposium
mass;balance;equation
added;total;sulfide
leachate;experimental;column
municipal;solid;waste
wood;municipal;solid
column;containing;fine
solid;waste;incinerator
concentration;leachate;experimental
hydrogen;sulfide;total
fuel;cell;system
breakthrough;capacity;bottom
sulfide;concentration;leachate
situ;landfill;experiment
sulfide;total;sulfide
diffusion;coefficient;landfill
solid;waste;incineration
total;sulfide;concentration
municipal;waste;management
simulation;landfill;adsorption
utilization;landfill;fuel
concentration;experimental;column
experimental;column;figure
figure;figure;figure
landfill;fuel;cell
waste;management;landfill
waste;management;waste
landfill;adsorption;bottom
