landfill;test;systems;landfills;type;states;natural;results;energy;term;mostbauer
waste;wood;incineration;symposium;management;treatment;mswi;composition;generation;amount;would
bottom;water;capacity;effect;breakthrough;temperature;adsorption;amount;composition;ratio;incineration
figure;data;amount;water;concentration;ratio;effect;would;temperature;removed;composition
biogas;using;observed;conditions;therefore;carbonation;process;used;ashes;material;order
adsorption;temperature;composition;pressure;would;experiments;bottom;amount;heat;effect;phase
sulfur;also;present;form;sulfate;higher;less;materials;used;oxygen;well
water;data;effect;bottom;temperature;amount;would;ratio;composition;figure;removed
used;also;materials;different;well;higher;high;material;using;less;therefore
sulfide;hydrogen;concentrations;added;total;column;cone;cake;food;fines;item
mass;balance;phase;volume;equation;relation;adsorption;amount;temperature;composition;would
fuel;cell;reforming;heat;pressure;temperature;steam;composition;would;effect;adsorption
content;well;also;first;high;produced;shown;observed;used;addition;moisture
solid;municipal;food;capacity;equation;incineration;bottom;breakthrough;hydrogen;phase;added
energy;environmental;natural;type;landfill;elements;metals;environment;term;wastes;condition
fines;column;total;data;figure;water;sulfides;amount;removed;ratio;would
concentration;would;time;amount;seen;production;experiments;increase;data;removed;value
municipal;incineration;waste;bottom;phase;capacity;equation;breakthrough;effect;composition;water
columns;leachate;experiment;reduction;control;several;even;likely;sulfate;field;measured
carbon;methane;production;increase;contents;produced;addition;seen;could;value;lime
removal;based;observed;conditions;processes;could;shown;high;well;uptake;addition
hydrogen;concentrations;added;sulfide;total;column;cake;food;fines;capacity;water
experiment;results;control;similar;measured;landfills;reduction;reducing;figures;soil;test
process;order;carbonation;therefore;thus;material;work;research;using;different;part
results;slag;test;landfills;soil;systems;landfill;electron;similar;upgrading;boundary
management;waste;sardinia;symposium;treatment;mswi;generation;disposal;wood;incinerator;product
time;concentration;experiments;would;heat;value;composition;could;adsorption;increase;reactor
also;high;used;well;different;higher;materials;material;form;less;therefore
leachate;experimental;dissolved;oxygen;relationship;containing;columns;quicklime;lime;sulfate;sulfur
column;total;fines;sulfides;added;concentrations;figure;data;water;cake;removed
materials;used;also;different;high;higher;well;using;material;mentioned;ashes
sulfate;sulfur;form;also;produce;materials;higher;used;organic;different;previously
amount;would;data;composition;temperature;water;concentration;experiments;ratio;paper;wood
different;also;used;therefore;materials;material;order;high;less;higher;well
test;results;landfill;similar;scale;measured;elements;evaluation;http;soil;natural
flow;rate;input;could;conditions;average;processes;constant;reactor;removal;reaction
concentrations;hydrogen;added;column;total;sulfide;fines;cake;figure;water;food
temperature;pressure;composition;would;effect;water;amount;adsorption;heat;reforming;experiments
system;conditions;processes;well;unit;constant;reaction;based;could;biogas;observed
treatment;mswi;generation;processes;could;wood;value;industrial;system;based;disposal
high;also;well;higher;materials;used;different;less;ashes;found;material
experimental;leachate;relationship;dissolved;containing;column;sulfides;oxygen;columns;lime;quicklime
capacity;bottom;breakthrough;water;effect;adsorption;temperature;equation;size;phase;incineration
table;study;site;oxidation;previous;list;parameters;presented;unknown;slag;grad
total;column;fines;added;water;data;cake;concentrations;figure;sulfides;removed
phase;balance;mass;adsorption;composition;relation;equation;temperature;bottom;would;effect
carbonation;order;process;therefore;material;thus;calcium;research;different;leachability;treated
plant;power;biogas;process;germany;chemical;therefore;carbonation;work;acid;used
surface;area;different;also;therefore;order;carbonation;material;days;high;used
potential;slag;reducing;results;systems;soil;methods;parameters;method;electron;bacteria
