packing,material
pressure,drop
packing,materials
removal,efficiency
wood,chips
polyurethane,foam
long,term
glass,spheres
elimination,capacity
mass,transfer
peat,granules
surface,area
desulfovibrio,desulfuricans
biotrickling,filters
organic,matter
sulfate,reducing
influent,effluent
hydrogen,sulfide
fixed,media
pilot,scale
moisture,content
wastewater,treatment
superficial,velocity
activated,carbon
steady,state
mine,drainage
fluidized,bioreactor
loading,rates
flow,rate
oyster,shell
minimum,fluidization
acid,mine
poplar,wood
sulfate,reduction
management,association
residence,time
aged,refuse
reducing,bacteria
fprintf,outfile
waste,management
sand,bioreactors
kunii,levenspiel
scanning,electron
particle,size
volumetric,productivity
binary,mixtures
carbon,source
sanitary,sewer
date,hour
results,discussion
