et,al
nutrient,recovery
anaerobic,digestion
wastewater,treatment
resource,recovery
organic,acid
e,g
o,n
acid,digest
n,o
yes,yes
reaction,tank
enhancement,treatment
digestates,anaerobic
treatment,digestates
full,scale
solid,liquid
sewage,sludge
digestate,processing
digested,sludge
reactor,tank
http,www
recovery,biosolids
treatment,system
liquid,separation
struvite,precipitation
digestion,process
treatment,plant
cross,section
enabling,future
phosphorus,recovery
carbon,dioxide
advancing,resource
future,advancing
organic,matter
pct,ca
p,e
g,e
land,application
ca,wo
ion,exchange
p,g
wo,pct
energy,recovery
data,available
liquid,fraction
biosolids,management
method,according
waste,water
mg,l
